X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
M,2025-01-08 18:04:06,2025-01-06,NVDA,Puri Ajay K,"EVP, Worldwide Field Ops",S - Sale,$151.11,-36695,"4,808,573",-1%,-5544783,,,,
,2024-12-18 17:42:41,2024-12-16,NVDA,Coxe Tench,Dir,S - Sale,$131.26,-1000000,"32,578,208",-3%,-131263863,,,,
,2024-12-13 19:52:48,2024-12-13,NVDA,Kress Colette,"EVP, CFO",S - Sale,$135.40,-66670,"5,594,604",-1%,-9027318,,,,
,2024-12-13 19:48:11,2024-12-13,NVDA,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,$135.28,-4500,"480,899",-1%,-608775,,,,
,2024-11-27 16:59:12,2024-11-25,NVDA,Dabiri John,Dir,S - Sale,$142.00,-716,"19,942",-3%,-101672,,,,
,2024-10-11 17:42:48,2024-10-09,NVDA,Stevens Mark A,Dir,S - Sale,$132.28,-155000,"38,272,685",0%,-20502579,,,,
,2024-10-07 17:27:24,2024-10-03,NVDA,Stevens Mark A,Dir,S - Sale,$122.61,-125000,"38,427,685",0%,-15325950,,,,
,2024-10-01 16:19:18,2024-09-27,NVDA,Stevens Mark A,Dir,S - Sale,$121.01,-40000,"38,552,685",0%,-4840356,,,,
,2024-09-26 17:22:24,2024-09-24,NVDA,Stevens Mark A,Dir,S - Sale,$121.27,-165100,"38,592,685",0%,-20021429,,,,
M,2024-09-23 16:45:44,2024-09-19,NVDA,Coxe Tench,Dir,S - Sale,$117.87,-2000000,"34,578,208",-5%,-235741095,,,,
,2024-09-20 21:11:08,2024-09-20,NVDA,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,$116.51,-4500,"492,409",-1%,-524293,,,,
,2024-09-20 21:10:31,2024-09-20,NVDA,Kress Colette,"EVP, CFO",S - Sale,$116.59,-66670,"5,729,894",-1%,-7772851,,,,
M,2024-09-16 16:22:22,2024-09-12,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$118.97,-240000,"861,019,236",0%,-28551919,,,,
M,2024-09-12 20:04:47,2024-09-10,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$109.39,-240000,"861,259,236",0%,-26252485,,,,
M,2024-09-10 18:52:09,2024-09-06,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$104.35,-240000,"861,499,236",0%,-25044854,,,,
M,2024-09-06 16:45:28,2024-09-04,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$107.52,-240000,"861,739,236",0%,-25805490,,,,
M,2024-09-04 17:23:42,2024-08-30,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$114.90,-240000,"861,979,236",0%,-27574820,,,,
M,2024-08-12 17:06:03,2024-08-08,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$103.82,-240000,"862,218,395",0%,-24915914,,,,
M,2024-08-08 17:02:45,2024-08-06,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$104.46,-240000,"862,458,395",0%,-25069567,,,,
M,2024-08-06 16:20:51,2024-08-02,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$102.54,-240000,"862,698,395",0%,-24609476,,,,
M,2024-08-02 16:45:57,2024-07-31,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$114.28,-240000,"862,938,395",0%,-27426748,,,,
M,2024-07-31 16:33:34,2024-07-29,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$109.93,-240000,"863,178,395",0%,-26383025,,,,
M,2024-07-29 18:08:25,2024-07-25,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$113.40,-240000,"863,418,395",0%,-27216126,,,,
M,2024-07-25 17:09:10,2024-07-23,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$120.29,-240000,"863,658,395",0%,-28869762,,,,
M,2024-07-23 16:54:36,2024-07-19,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$120.65,-240000,"863,898,395",0%,-28954933,,,,
M,2024-07-19 16:33:06,2024-07-17,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$119.50,-240000,"864,138,395",0%,-28679816,,,,
M,2024-07-17 16:59:50,2024-07-15,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$127.66,-240000,"864,378,395",0%,-30638085,,,,
,2024-07-15 16:59:37,2024-07-12,NVDA,Stevens Mark A,Dir,S - Sale,$129.82,-156023,"38,757,785",0%,-20254063,,,,
,2024-07-15 16:59:10,2024-07-12,NVDA,Puri Ajay K,"EVP, Worldwide Field Ops",S - Sale,$130.10,-100110,"4,968,721",-2%,-13023949,,,,
M,2024-07-15 16:58:41,2024-07-11,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$130.28,-240000,"864,618,395",0%,-31266275,,,,
M,2024-07-11 16:28:35,2024-07-09,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$132.77,-240000,"864,858,395",0%,-31864601,,,,
M,2024-07-11 16:27:26,2024-07-09,NVDA,Stevens Mark A,Dir,S - Sale,$132.48,-785000,"38,913,808",-2%,-103998016,,,,
M,2024-07-09 16:24:15,2024-07-05,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$127.87,-240000,"865,098,395",0%,-30688598,,,,
M,2024-07-05 16:20:09,2024-07-02,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$123.26,-240000,"865,338,395",0%,-29581600,,,,
M,2024-07-02 18:08:48,2024-06-28,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$123.91,-240000,"865,578,395",0%,-29738301,,,,
M,2024-06-28 16:20:45,2024-06-26,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$124.63,-240000,"865,818,395",0%,-29912143,,,,
M,2024-06-26 16:09:15,2024-06-24,NVDA,Kress Colette,"EVP, CFO",S - Sale,$122.15,-200000,"5,864,542",-3%,-24430514,,,,
M,2024-06-26 16:08:01,2024-06-24,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$122.13,-240000,"866,058,395",0%,-29310576,,,,
M,2024-06-21 20:12:50,2024-06-20,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$131.49,-240000,"866,298,395",0%,-31557278,,,,
,2024-06-21 20:05:10,2024-06-21,NVDA,Kress Colette,"EVP, CFO",S - Sale,$126.99,-100000,"6,064,542",-2%,-12699088,,,,
,2024-06-21 16:35:53,2024-06-21,NVDA,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,$128.17,-4500,"503,878",-1%,-576751,,,,
M,2024-06-20 16:23:06,2024-06-17,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$132.90,-240000,"867,047,230",0%,-31894854,,,,
M,2024-06-17 17:00:47,2024-06-13,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale,$129.94,-240000,"867,287,230",0%,-31184783,,,,
M,2024-06-13 17:52:15,2024-06-11,NVDA,Stevens Mark A,Dir,S - Sale,$124.14,-470000,"39,696,720",-1%,-58344021,,,,
,2024-06-10 16:55:57,2024-06-07,NVDA,Coxe Tench,Dir,S - Sale,"$1,194.57",-100000,"3,657,612",-3%,-119457412,,,,
,2024-06-07 17:15:17,2024-06-05,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,"$1,222.83",-715,"144,223",0%,-874324,,,,
,2024-06-07 17:14:22,2024-06-05,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,"$1,200.69",-10425,"249,533",-4%,-12517143,,,,
,2024-06-07 17:12:44,2024-06-05,NVDA,Stevens Mark A,Dir,S - Sale,"$1,199.06",-16670,"4,016,672",0%,-19988343,,,,
,2024-06-05 17:02:53,2024-06-04,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,"$1,151.59",-15000,"259,958",-5%,-17273842,,,,
,2024-06-05 17:02:25,2024-06-03,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,"$1,136.41",-15000,"274,958",-5%,-17046175,,,,
,2024-06-05 17:01:29,2024-06-03,NVDA,Stevens Mark A,Dir,S - Sale,"$1,139.20",-8900,"4,033,342",0%,-10138892,,,,
M,2024-05-31 16:05:07,2024-05-29,NVDA,Stevens Mark A,Dir,S - Sale,"$1,141.43",-26939,"4,042,242",-1%,-30748961,,,,
